names,science score,history score
Pam Otoole,4.42,4
Diane Olson,3.88,4.8
Sarah Flannery,5.32,6.1
Stanley Chappell,3.82,3.7
Arnold Dodson,4.6,5.2
Amber Hicks,4.36,6
Susan Miller,5.2,6.7
Joseph Jaco,3.16,3.1
Arthur Byer,4.84,3.7
Donna Medlin,3.28,3.9
Shaun Johnson,4.48,3.9
Lamar Becker,3.4,4.1
Camie Hamilton,3.7,5.4
Anthony Brown,4.72,4
Catherine Grenier,4,3.2
Cynthia Mandeville,4.3,4.2
Charles Johnson,6.28,5.8
Sonia Brent,1.84,2.7
Samuel Dougal,3.46,3.3
Barbara Barahona,4.24,3.4
Hubert Mitchell,3.76,4.3
Judith Malone,4.9,4.2
John Salter,3.34,4.2
Denise Harstad,4.3,4.5
Brian Geraldo,5.44,4.8
Edward Hutcheson,5.38,5
William Musick,4.3,4.2
Dolores Sprinkle,4.6,3.9
Edward Killingsworth,4.78,4.4
Viola Santiago,4.3,4.8
Hazel Montoya,5.14,5.4
Dana Belcher,4,3.7
Shirley Nicholls,4.36,4.5
Justin Harris,2.92,3
Matthew Demelis,6.82,4.7
Arthur William,4.36,5.9
Joyce Turpen,4.06,4.4
Joyce Bland,3.7,4.8
Audrey Vargas,5.5,5.3
Robert Frazier,3.34,4.4
Robert Strain,3.94,4.7
Margery Rattan,4.12,5.4
Heike Miller,4.18,4.1
Richard Benitez,4.18,4.1
Celeste Petch,3.1,3.7
Lawrence Cormier,3.7,3.3
Ruth Patrick,3.28,4.5
Donna Cortez,3.76,4.4
Tanya Favela,4.42,4.6
Rolando Widmer,5.38,5.5
Thomas Bulow,4.18,3.6
Shannon Bale,4.18,4.7
Charles Ayala,3.22,3.1
Anthony Anderson,6.28,4.3
Sharon Sikes,4.78,4.5
Ruth Dupre,2.56,3.2
Dorothea Martin,4.9,4.6
Alberto Roberts,3.46,4
Shawn Lopez,3.76,3.8
Melissa Johnston,1,1.8
Richard Bratcher,4.3,4.6
Arthur Daschofsky,2.86,3.1
Jeffrey Massa,4.3,3.6
Charlotte Benton,5.14,5.8
Dana Bolyard,3.82,4.1
Solomon Washington,4.18,4.1
Jean Stamdifer,2.86,3.2
Maritza Kielbasa,3.52,4.9
Michael Young,3.88,4.5
Clarissa Mccarthy,2.86,4.8
Denise Mcdonald,4.12,4
John Suh,4,4.3
Olga Hatcher,2.92,3.1
Victor Kinkead,4.24,4.4
Anthony Hinerman,3.64,3.4
Larry Matthews,3.34,3.2
Charles Jackson,2.44,2.6
Charles Linstrom,4.36,5.2
Kara Greene,3.52,5
Mary Wilson,3.58,4.3
Emily Devins,3.52,3.4
Paul Sherrill,3.34,2.9
Scott Oviedo,3.4,3
Casey Brenneman,5.32,4.1
Ronald Jett,3.22,3.3
Joy Hasler,4.48,4.4
Nancy Rand,4.6,5
Mable Collins,4.78,4
Kim Adams,4.12,4.4
Maritza Gasaway,4.48,6.2
Julie Sciancalepore,3.7,4.9
Eugene Jewett,2.08,3
Alan Sigmon,3.94,4.3
Russel Broussard,3.04,3.2
Rachel Angelini,5.74,4.6
Timothy Anderson,4.72,4.4
Jesus Currier,3.7,5
Velma Chatcho,3.64,4.9
Patricia Hearn,3.76,4.2
Judith Mcenany,4.48,4.2
James Denk,5.26,4.6
Donald Mooberry,4.24,5
Julie Tang,6.1,5.9
James Michael,3.88,3.1
James Stanley,5.08,4.6
Martha Ball,4.48,5
Cleo Jefferson,4.6,5.2
Larry Workman,4.96,3.6
Monica Schwartz,3.76,4.2
Gladys Thompson,4.36,4.5
Patricia Spiller,4.66,4.7
William Pool,3.58,4.3
Arthur Patterson,3.22,3.5
Miranda Domingo,3.1,3.8
Emma Gray,6.94,5.2
Josh Moore,6.04,5.6
Pamela Cannady,5.5,6.1
Eileen Hardin,4.24,4.9
Cynthia Weir,3.1,3.6
Kathryn Neville,3.64,5.1
Diane Hopkins,5.74,4.9
Earl Rodriguez,6.46,4.7
Connie Banda,5.2,5.5
Jerome Riddle,4,4.1
Robert Sturgeon,5.44,5.3
Wendy Lewis,4.6,6.7
Floyd Annino,5.32,4.3
Albert Duran,3.7,5.6
Richard Pina,5.38,4.9
Brenna Pate,3.4,3.1
James Crawford,5.8,4.5
Larry Braun,3.22,2.6
Albert Vaughn,4.6,4.1
Rachele Hammer,5.02,5.4
Matthew Mcdonald,4.96,5.7
Karl Hernandez,4.48,4.3
Gary Spencer,4.06,3.6
Matthew Burns,4.36,4.3
Jeanne White,3.82,4.2
Jonathan Clingan,4.36,3.6
Patricia Mcclurg,4.6,4.5
Geraldine Gamboa,3.82,3.6
Mary Delgado,3.22,3.3
Doyle Johnson,4.42,3.1
Manuel Glover,6.28,4.9
Barbara Henriques,2.14,3.3
Christopher Hernandez,6.28,5.5
Randy Olson,4.9,3.9
Judy Helmer,5.08,5
David Martinez,6.4,5.8
Robert Hickman,3.58,4.2
George Estrada,4.66,4.2
Ronnie Lim,4.18,4.8
Jim Burkhart,3.88,3.6
Richard Stevens,3.58,5
Virginia Trible,3.94,5.3
Estelle Jackson,3.76,4.6
Mitchell Eguia,3.88,3.5
Clora Machado,3.88,4.6
Walter Mata,4.96,4
Derrick Crasco,5.38,4.7
Mary Piotrowski,4.6,6.3
John Ousley,3.04,3.2
Micheal Thompson,3.16,3.2
Esther Childress,5.32,6.5
Emmie Mooreland,5.56,5.2
Daniel Deas,3.22,3.8
Joyce Thornton,3.4,4.2
Denise Chavez,4.66,5
Tanya Anderson,3.76,4.2
Richard Royals,4,5.4
Sylvester Beveridge,4.9,4.7
Carolyn Greer,4.3,4.6
Joyce Amos,4.78,3.8
Callie Mork,3.04,4.1
Ofelia Evans,4.84,5.4
Aurelia Spaulding,2.92,3.6
Rosalind Knauer,4.78,5.6
Evelyn Galligan,4.12,5.2
Emma Brasher,5.62,5.2
Christian Hill,3.58,5.1
Tamara Mckinney,2.92,4.5
Margaret Yarbrough,3.4,3.1
Lee Trent,3.7,4.3
Charles Harian,2.86,4.1
Eric Brown,4.9,5
Joe Burks,4.36,5.6
Hans Crabtree,3.58,4.2
John Moreno,2.98,3.2
Kimberly Chavez,5.14,4.7
Gail Cassady,4.54,4.9
James Braun,4.18,5.5
Georgia Collins,4.3,4.1
Isaac Pagan,4.66,4.7
Rose Nguyen,4.3,5
Richard Henry,3.52,3.6
John Sabir,4.54,4.3
William Gardiner,3.94,3.4
Robbie Stevens,3.16,3.9
Mary Jackson,5.68,4.8
Audrey Head,4.6,5.5
Audrey Shaffer,3.7,5.4
Brenton Graap,3.88,4.2
Stacy Parker,3.7,3.9
Brian Green,4.54,3
Jeremy Smith,4.54,4.4
Michael Leta,4.42,4
James Aguirre,5.32,4.8
Kathryn Novak,5.44,4.9
Maria Cottone,4.48,4.3
Horace Morefield,4.36,4.3
Anthony Malcomb,2.44,2.5
Tina Willis,3.22,3.6
Justin Esparza,3.52,3.8
Jonathan Mitchell,5.14,4.8
Francis Seibold,6.04,4.5
Thelma Yeates,5.44,5.6
Dana Kramer,3.04,2.8
Theodore Sims,3.76,5.2
John Gonzales,3.52,3.7
Kathleen Johnson,3.34,3.9
Richard Taylor,6.22,4.6
Sharon Garcia,4.3,4.5
Osvaldo Barraza,5.62,5.8
Carolyn Smartt,3.76,5
Chanelle Mauricio,3.4,3.4
Helen Mcatee,4.42,5.3
